Title,Authors,Abstract,Publication Date
Novel Comparison Method of Research Activities between Research Institutes in a Specific Research Area,N/A,2020 9th International Congress on Advanced Applied Informatics (IIAI-AAI)Year: 2020 | Conference Paper | Publisher: IEEE,Year: 2020 | Conference Paper | Publisher: IEEE
What paper types are accepted at the international conference on software engineering?,N/A,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)Year: 2017 | Conference Paper | Publisher: IEEE Cited by: Papers (2),Year: 2017 | Conference Paper | Publisher: IEEE
Research paper recommendation with topic analysis,N/A,2010 International Conference On Computer Design and ApplicationsYear: 2010 | Conference Paper | Publisher: IEEE Cited by: Papers (20),Year: 2010 | Conference Paper | Publisher: IEEE
A Hybrid Approach Toward Research Paper Recommendation Using Centrality Measures and Author Ranking,N/A,IEEE AccessYear: 2019 | Volume: 7 | Journal Article | Publisher: IEEE Cited by: Papers (32),Year: 2019 | Volume: 7 | Journal Article | Publisher: IEEE
Research on Keyword Selection and Usage in Scientific Papers,N/A,2022 8th Annual International Conference on Network and Information Systems for Computers (ICNISC)Year: 2022 | Conference Paper | Publisher: IEEE Cited by: Papers (1),Year: 2022 | Conference Paper | Publisher: IEEE
"Bubbling Inception Temperature in Power Transformers—Part 1: Comparative Study of Kraft Paper, Thermally Upgraded Kraft Paper, and Aramid Paper With Mineral Oil",N/A,IEEE AccessYear: 2025 | Volume: 13 | Journal Article | Publisher: IEEE,Year: 2025 | Volume: 13 | Journal Article | Publisher: IEEE
Introducing Agility into Research Teams,N/A,2022 IEEE Frontiers in Education Conference (FIE)Year: 2022 | Conference Paper | Publisher: IEEE Cited by: Papers (2),Year: 2022 | Conference Paper | Publisher: IEEE
Research paper classification based on Word2vec and community discovery,N/A,2020 International Conference on Decision Aid Sciences and Application (DASA)Year: 2020 | Conference Paper | Publisher: IEEE Cited by: Papers (9),Year: 2020 | Conference Paper | Publisher: IEEE
Challenges and Opportunities in Pulp and Paper Process Control,N/A,1988 American Control ConferenceYear: 1988 | Conference Paper | Publisher: IEEE Cited by: Papers (5),Year: 1988 | Conference Paper | Publisher: IEEE
How to Write and Read a Scientific Evaluation Paper,N/A,2009 17th IEEE International Requirements Engineering ConferenceYear: 2009 | Conference Paper | Publisher: IEEE Cited by: Papers (5),Year: 2009 | Conference Paper | Publisher: IEEE
Evaluation of the Industrial and Social Impacts of Science and Technology Using Patents and News Articles,N/A,2014 IIAI 3rd International Conference on Advanced Applied InformaticsYear: 2014 | Conference Paper | Publisher: IEEE,Year: 2014 | Conference Paper | Publisher: IEEE
Immersive Teaching Enhancing Ability of Scientific Paper Writing: A Case Study in the Fields of Instrumentation and Measurement,N/A,"2023 International Conference on Sensing, Measurement & Data Analytics in the era of Artificial Intelligence (ICSMD)Year: 2023 | Conference Paper | Publisher: IEEE",Year: 2023 | Conference Paper | Publisher: IEEE
A Framework for Tag-Based Research Paper Recommender System: An IR Approach,N/A,2010 IEEE 24th International Conference on Advanced Information Networking and Applications WorkshopsYear: 2010 | Conference Paper | Publisher: IEEE Cited by: Papers (26),Year: 2010 | Conference Paper | Publisher: IEEE
Visualization as Seen through its Research Paper Keywords,N/A,"IEEE Transactions on Visualization and Computer GraphicsYear: 2017 | Volume: 23, Issue: 1 | Journal Article | Publisher: IEEE Cited by: Papers (50)","Year: 2017 | Volume: 23, Issue: 1 | Journal Article | Publisher: IEEE"
An efficient algorithm for ranking research papers based on citation network,N/A,2011 3rd Conference on Data Mining and Optimization (DMO)Year: 2011 | Conference Paper | Publisher: IEEE Cited by: Papers (23),Year: 2011 | Conference Paper | Publisher: IEEE
Visualization analysis of comprehensive evaluation of academic papers based on knowledge graph,N/A,2022 12th International Conference on Information Technology in Medicine and Education (ITME)Year: 2022 | Conference Paper | Publisher: IEEE,Year: 2022 | Conference Paper | Publisher: IEEE
The Application of Scientific Research Management System in the Process of Project Management and Academic Achievements Statistics in Higher Vocational Colleges,N/A,2022 8th Annual International Conference on Network and Information Systems for Computers (ICNISC)Year: 2022 | Conference Paper | Publisher: IEEE,Year: 2022 | Conference Paper | Publisher: IEEE
Leveraging Axiomatic Design and Research Information Systems to Promote Research Outcomes at Public Universities,N/A,IEEE AccessYear: 2022 | Volume: 10 | Journal Article | Publisher: IEEE,Year: 2022 | Volume: 10 | Journal Article | Publisher: IEEE
Identifying themes and trends in CS research output from India,N/A,2015 International Conference on Cognitive Computing and Information Processing(CCIP)Year: 2015 | Conference Paper | Publisher: IEEE Cited by: Papers (7),Year: 2015 | Conference Paper | Publisher: IEEE
Quantitative Analysis of Research Literature on Socialist Core Values Education of Chinese College Students,N/A,"2020 International Symposium on Advances in Informatics, Electronics and Education (ISAIEE)Year: 2020 | Conference Paper | Publisher: IEEE",Year: 2020 | Conference Paper | Publisher: IEEE
Comparison of techniques for measuring research coverage of scientific papers: A case study,N/A,2015 Tenth International Conference on Digital Information Management (ICDIM)Year: 2015 | Conference Paper | Publisher: IEEE Cited by: Papers (2),Year: 2015 | Conference Paper | Publisher: IEEE
A Conceptual Paper on Action Research in Job Satisfaction and Turnover Intention for a Chinese Property Company,N/A,2022 International Conference on Data Analytics for Business and Industry (ICDABI)Year: 2022 | Conference Paper | Publisher: IEEE Cited by: Papers (2),Year: 2022 | Conference Paper | Publisher: IEEE
The state of practice in system safety research evaluation,N/A,5th IET International Conference on System Safety 2010Year: 2010 | Conference Paper | Publisher: IET Cited by: Papers (1),Year: 2010 | Conference Paper | Publisher: IET
Model Organized Theoretical and Experimental Research in Collaborative Space,N/A,2023 IEEE 17th International Symposium on Applied Computational Intelligence and Informatics (SACI)Year: 2023 | Conference Paper | Publisher: IEEE Cited by: Papers (2),Year: 2023 | Conference Paper | Publisher: IEEE
Data Analytics for Artificial Intelligence Research from 2018 to 2020,N/A,"2020 13th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)Year: 2020 | Conference Paper | Publisher: IEEE",Year: 2020 | Conference Paper | Publisher: IEEE
Low Acceptance Rates of Conference Papers Considered Harmful,N/A,"ComputerYear: 2016 | Volume: 49, Issue: 4 | Magazine Article | Publisher: IEEE","Year: 2016 | Volume: 49, Issue: 4 | Magazine Article | Publisher: IEEE"
The State of Reproducibility Stamps for Visualization Research Papers,N/A,2024 IEEE Evaluation and Beyond - Methodological Approaches for Visualization (BELIV)Year: 2024 | Conference Paper | Publisher: IEEE,Year: 2024 | Conference Paper | Publisher: IEEE
Text Summarization for Research Papers using Transformers,N/A,2024 IEEE 9th International Conference for Convergence in Technology (I2CT)Year: 2024 | Conference Paper | Publisher: IEEE,Year: 2024 | Conference Paper | Publisher: IEEE
Visual support system for semi-automatic generation of spadework of academic paper from presentation slides,N/A,2012 International Conference for Internet Technology and Secured TransactionsYear: 2012 | Conference Paper | Publisher: IEEE,Year: 2012 | Conference Paper | Publisher: IEEE
Study on The Investment Structure of Basic Research,N/A,2019 3rd International Conference on Data Science and Business Analytics (ICDSBA)Year: 2019 | Conference Paper | Publisher: IEEE Cited by: Papers (1),Year: 2019 | Conference Paper | Publisher: IEEE
A hybrid model ranking search result for research paper searching on social bookmarking,N/A,2015 1st International Conference on Industrial Networks and Intelligent Systems (INISCom)Year: 2015 | Conference Paper | Publisher: IEEE Cited by: Papers (1),Year: 2015 | Conference Paper | Publisher: IEEE
A corporal and LDA analysis of abstracts of academic conference papers,N/A,Proceedings of the 2013 International Conference on Advanced Mechatronic SystemsYear: 2013 | Conference Paper | Publisher: IEEE Cited by: Papers (3),Year: 2013 | Conference Paper | Publisher: IEEE
Retention control system for the wet-end section in a paper machine,N/A,SICE 2004 Annual ConferenceYear: 2004 | Conference Paper | Publisher: IEEE Cited by: Patents (1),Year: 2004 | Conference Paper | Publisher: IEEE
Exploring Evolutionary Technical Trends from Academic Research Papers,N/A,2008 The Eighth IAPR International Workshop on Document Analysis SystemsYear: 2008 | Conference Paper | Publisher: IEEE Cited by: Papers (5),Year: 2008 | Conference Paper | Publisher: IEEE
Estimating research productivity and quality in assistive technology: a bibliometric analysis spanning four decades,N/A,"IEEE Transactions on Neural Systems and Rehabilitation EngineeringYear: 2004 | Volume: 12, Issue: 4 | Journal Article | Publisher: IEEE Cited by: Papers (6)","Year: 2004 | Volume: 12, Issue: 4 | Journal Article | Publisher: IEEE"
Integrated Autonomous Model System as Research Media,N/A,"2022 IEEE 22nd International Symposium on Computational Intelligence and Informatics and 8th IEEE International Conference on Recent Achievements in Mechatronics, Automation, Computer Science and Robotics (CINTI-MACRo)Year: 2022 | Conference Paper | Publisher: IEEE Cited by: Papers (6)",Year: 2022 | Conference Paper | Publisher: IEEE
Insider Action Design Research a multi-methodological Information Systems research approach,N/A,2014 IEEE Eighth International Conference on Research Challenges in Information Science (RCIS)Year: 2014 | Conference Paper | Publisher: IEEE Cited by: Papers (14),Year: 2014 | Conference Paper | Publisher: IEEE
Towards a Serendipitous Research Paper Recommender System Using Bisociative Information Networks (BisoNets),N/A,"2018 International Conference on Advances in Big Data, Computing and Data Communication Systems (icABCD)Year: 2018 | Conference Paper | Publisher: IEEE Cited by: Papers (4)",Year: 2018 | Conference Paper | Publisher: IEEE
Mapping The Research Collaboration Between India And USA During 2007–2016,N/A,2018 5th International Symposium on Emerging Trends and Technologies in Libraries and Information Services (ETTLIS)Year: 2018 | Conference Paper | Publisher: IEEE Cited by: Papers (1),Year: 2018 | Conference Paper | Publisher: IEEE
Bibliometric analysis of the domestic clustering algorithm research,N/A,2010 International Conference on Future Information Technology and Management EngineeringYear: 2010 | Conference Paper | Publisher: IEEE,Year: 2010 | Conference Paper | Publisher: IEEE
An empirical study of the relationship between science and technology award and the paper output—Take the paper output in a college as a research sample,N/A,2010 International Conference on Future Information Technology and Management EngineeringYear: 2010 | Conference Paper | Publisher: IEEE,Year: 2010 | Conference Paper | Publisher: IEEE
Identification of data mining research frontier based on conference papers,N/A,"International Journal of Crowd ScienceYear: 2021 | Volume: 5, Issue: 2 | Journal Article | Publisher: TUP Cited by: Papers (3)","Year: 2021 | Volume: 5, Issue: 2 | Journal Article | Publisher: TUP"
Experiment research on the composite material produced by waste residue from paper mill and recycle polyethylene,N/A,2011 Second International Conference on Mechanic Automation and Control EngineeringYear: 2011 | Conference Paper | Publisher: IEEE,Year: 2011 | Conference Paper | Publisher: IEEE
Software Engineering Research in Brazil: An Analysis of the Last Five Editions of SBES,N/A,2011 25th Brazilian Symposium on Software EngineeringYear: 2011 | Conference Paper | Publisher: IEEE Cited by: Papers (1),Year: 2011 | Conference Paper | Publisher: IEEE
Mapping Computer Science research in Bangladesh,N/A,"The 8th International Conference on Software, Knowledge, Information Management and Applications (SKIMA 2014)Year: 2014 | Conference Paper | Publisher: IEEE Cited by: Papers (4)",Year: 2014 | Conference Paper | Publisher: IEEE
Impact of Formative Research on Engineering students,N/A,2019 IEEE World Conference on Engineering Education (EDUNINE)Year: 2019 | Conference Paper | Publisher: IEEE Cited by: Papers (6),Year: 2019 | Conference Paper | Publisher: IEEE
"The Research Context, Latest Hotspots And Evolution Trend Of Global Robots–Based On Visual Analysis Of Citespace",N/A,"2020 Asia-Pacific Conference on Image Processing, Electronics and Computers (IPEC)Year: 2020 | Conference Paper | Publisher: IEEE Cited by: Papers (1)",Year: 2020 | Conference Paper | Publisher: IEEE
Searching Promising Researchers through Network Centrality Measures of Co-author Networks of Technical Papers,N/A,2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC)Year: 2017 | Conference Paper | Publisher: IEEE Cited by: Papers (7),Year: 2017 | Conference Paper | Publisher: IEEE
CNN-based Evaluation Method of Academic Innovation Effect of American Research Universities,N/A,2021 IEEE International Conference on Industrial Application of Artificial Intelligence (IAAI)Year: 2021 | Conference Paper | Publisher: IEEE,Year: 2021 | Conference Paper | Publisher: IEEE
Engineering Research Impact in Developing Countries,N/A,2022 International Conference on Science and Technology (ICOSTECH)Year: 2022 | Conference Paper | Publisher: IEEE,Year: 2022 | Conference Paper | Publisher: IEEE
Research and Development of Superconducting High Gradient Magnetic Separation for Purification of Wastewater From Paper Factory,N/A,"IEEE Transactions on Applied SuperconductivityYear: 2007 | Volume: 17, Issue: 2 | Journal Article | Publisher: IEEE Cited by: Papers (19)","Year: 2007 | Volume: 17, Issue: 2 | Journal Article | Publisher: IEEE"
Major Research Topics in Big Data: A Literature Analysis from 2013 to 2017 Using Probabilistic Topic Models,N/A,2018 International Conference on Artificial Intelligence and Data Processing (IDAP)Year: 2018 | Conference Paper | Publisher: IEEE Cited by: Papers (11),Year: 2018 | Conference Paper | Publisher: IEEE
Using web resources for support of online-browsing of research papers,N/A,2009 IEEE International Conference on Information Reuse & IntegrationYear: 2009 | Conference Paper | Publisher: IEEE Cited by: Papers (1),Year: 2009 | Conference Paper | Publisher: IEEE
Quick Evaluation of Research Impacts at Conferences Using SNS,N/A,2015 26th International Workshop on Database and Expert Systems Applications (DEXA)Year: 2015 | Conference Paper | Publisher: IEEE,Year: 2015 | Conference Paper | Publisher: IEEE
Scientific Paper Recommendation System,N/A,2023 IEEE 8th International Conference for Convergence in Technology (I2CT)Year: 2023 | Conference Paper | Publisher: IEEE Cited by: Papers (3),Year: 2023 | Conference Paper | Publisher: IEEE
"Analysis of the Status Quo of Artificial Intelligence Research in Shandong Province, China",N/A,2019 IEEE 5th International Conference on Computer and Communications (ICCC)Year: 2019 | Conference Paper | Publisher: IEEE,Year: 2019 | Conference Paper | Publisher: IEEE
Analysis of Contributions in Journal of Scientific and Industrial Research A Bibliometric Study,N/A,2018 5th International Symposium on Emerging Trends and Technologies in Libraries and Information Services (ETTLIS)Year: 2018 | Conference Paper | Publisher: IEEE,Year: 2018 | Conference Paper | Publisher: IEEE
Study of Research on Government Performance Management: The Application of Measurement System in Literatures,N/A,2011 Fourth International Conference on Business Intelligence and Financial EngineeringYear: 2011 | Conference Paper | Publisher: IEEE,Year: 2011 | Conference Paper | Publisher: IEEE
Research Papers: Writing Tips and Top-Tier Targets,N/A,"IEEE PotentialsYear: 2017 | Volume: 36, Issue: 3 | Magazine Article | Publisher: IEEE","Year: 2017 | Volume: 36, Issue: 3 | Magazine Article | Publisher: IEEE"
InPRA – An Intelligent System for Writing while Doing Research,N/A,2023 8th International Conference on Information Technology Research (ICITR)Year: 2023 | Conference Paper | Publisher: IEEE,Year: 2023 | Conference Paper | Publisher: IEEE
Trends in Research Topic Representation,N/A,2023 3rd International Conference on Intelligent Communication and Computational Techniques (ICCT)Year: 2023 | Conference Paper | Publisher: IEEE,Year: 2023 | Conference Paper | Publisher: IEEE
Toward Altmetric-Driven Research-Paper Recommender System Framework,N/A,2017 13th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS)Year: 2017 | Conference Paper | Publisher: IEEE Cited by: Papers (3),Year: 2017 | Conference Paper | Publisher: IEEE
Paper Basis Weight Control in Paper Mill using Dead Time Approximation and Dead Time Compensation Techniques,N/A,2021 Second International Conference on Electronics and Sustainable Communication Systems (ICESC)Year: 2021 | Conference Paper | Publisher: IEEE Cited by: Papers (3),Year: 2021 | Conference Paper | Publisher: IEEE
An improved method for predicting pulp properties and scheduling the ratio of waste paper,N/A,2017 29th Chinese Control And Decision Conference (CCDC)Year: 2017 | Conference Paper | Publisher: IEEE,Year: 2017 | Conference Paper | Publisher: IEEE
Scientists prefer research answering humanity's intellectual curiosity: questionnaire results from Members of the Japan Geoscience Union,N/A,2021 10th International Congress on Advanced Applied Informatics (IIAI-AAI)Year: 2021 | Conference Paper | Publisher: IEEE,Year: 2021 | Conference Paper | Publisher: IEEE
Content analysis on special study site Journal Papers in the past ten years,N/A,5th International Conference on Computer Sciences and Convergence Information TechnologyYear: 2010 | Conference Paper | Publisher: IEEE,Year: 2010 | Conference Paper | Publisher: IEEE
Software tool for supporting ethnographic research in design and innovation projects in management education,N/A,2010 International Conference on Technology for EducationYear: 2010 | Conference Paper | Publisher: IEEE,Year: 2010 | Conference Paper | Publisher: IEEE
Exploration on the Cultivation of Innovative Undergraduate Talents in Computer Major Promoted by Organic Integration of Teaching and Scientific Research,N/A,2021 9th International Conference on Information and Education Technology (ICIET)Year: 2021 | Conference Paper | Publisher: IEEE,Year: 2021 | Conference Paper | Publisher: IEEE
Electrical energy usage in the pulp and paper industry,N/A,Annual Technical Conference on Pulp and Paper IndustryYear: 1990 | Conference Paper | Publisher: IEEE Cited by: Papers (1),Year: 1990 | Conference Paper | Publisher: IEEE
Survey on research paper's relations,N/A,2015 International Conference on Information Technology Systems and Innovation (ICITSI)Year: 2015 | Conference Paper | Publisher: IEEE Cited by: Papers (4),Year: 2015 | Conference Paper | Publisher: IEEE
National repository of papers based on open access,N/A,2017 International Conference on Information and Communication Technology Convergence (ICTC)Year: 2017 | Conference Paper | Publisher: IEEE,Year: 2017 | Conference Paper | Publisher: IEEE
A Scientometric analysis of computer science research in India,N/A,2015 Eighth International Conference on Contemporary Computing (IC3)Year: 2015 | Conference Paper | Publisher: IEEE Cited by: Papers (3),Year: 2015 | Conference Paper | Publisher: IEEE
Detecting Text Similarity over Chinese Research Papers Using MapReduce,N/A,"2011 12th ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed ComputingYear: 2011 | Conference Paper | Publisher: IEEE Cited by: Papers (2)",Year: 2011 | Conference Paper | Publisher: IEEE
Design of SA and GA Optimized PID Controllers for Controlling Blend Chest Level of Paper Mill,N/A,2022 4th International Conference on Smart Systems and Inventive Technology (ICSSIT)Year: 2022 | Conference Paper | Publisher: IEEE Cited by: Papers (2),Year: 2022 | Conference Paper | Publisher: IEEE
Support vector machine classifier for research discipline area selection,N/A,2017 International Conference on Intelligent Computing and Control Systems (ICICCS)Year: 2017 | Conference Paper | Publisher: IEEE Cited by: Papers (1),Year: 2017 | Conference Paper | Publisher: IEEE
Research Data Management Policy And Institutional Framework,N/A,2018 5th International Symposium on Emerging Trends and Technologies in Libraries and Information Services (ETTLIS)Year: 2018 | Conference Paper | Publisher: IEEE Cited by: Papers (6),Year: 2018 | Conference Paper | Publisher: IEEE
Making Use of Coverage to Assess the Research Paper Recommender System,N/A,"2024 1st International Conference on Advances in Computing, Communication and Networking (ICAC2N)Year: 2024 | Conference Paper | Publisher: IEEE",Year: 2024 | Conference Paper | Publisher: IEEE
Bibliometric analysis of research papers on education informationalization in China,N/A,2009 IEEE International Symposium on IT in Medicine & EducationYear: 2009 | Conference Paper | Publisher: IEEE,Year: 2009 | Conference Paper | Publisher: IEEE
Growth Of LIS Research In India As Reflected In Scopus During 2010–2014 A Scientometric Analysis,N/A,2018 5th International Symposium on Emerging Trends and Technologies in Libraries and Information Services (ETTLIS)Year: 2018 | Conference Paper | Publisher: IEEE,Year: 2018 | Conference Paper | Publisher: IEEE
"Extraction of Research Objectives, Machine Learning Model Names, and Dataset Names from Academic Papers and Analysis of Their Interrelationships Using LLM and Network Analysis",N/A,2024 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)Year: 2024 | Conference Paper | Publisher: IEEE,Year: 2024 | Conference Paper | Publisher: IEEE
